CodProducto,NbrProducto,PVP,UltPrecioCompra,Inventariable,Subfamilia,ProveedorHabitual,Bloqueado,FechaUltModif,Tipo,TipoIVA
"01000002","KRIT CANAPE 125GR CUETARA",0.00000000000000000000,0.59583300000000000000,1,"01","000082",0,"04/19/13 00:00:00","TIENDA","IVA10"
"01000003","KRITITAS BOLSA 40GR",0.00000000000000000000,0.25100000000000000000,1,"01","000082",0,"04/19/13 00:00:00","TIENDA","IVA10"
"01000004","KRIT SANDWICH QUESO 125GR CUET",0.00000000000000000000,1.03000000000000000000,1,"01","000082",0,"04/19/13 00:00:00","TIENDA","IVA10"
"01000005","TUC CRACKER 100GR",0.00000000000000000000,0.88000000000000000000,1,"01","000082",0,"04/19/13 00:00:00","TIENDA","IVA10"
"01000014","ORIGINAL 165GR PRINGLES",0.00000000000000000000,1.56000000000000000000,1,"01","000082",0,"04/19/13 00:00:00","TIENDA","IVA10"
"01000015","ORIGINAL 40GR PRINGLES",0.00000000000000000000,0.63500000000000000000,1,"01","000082",0,"04/19/13 00:00:00","TIENDA","IVA10"
"01000016","MAIZ TOSTADO C/SAL 100GR CHURR",0.00000000000000000000,0.28000000000000000000,1,"01","000082",0,"04/25/13 00:00:00","TIENDA","IVA10"
"01000017","GIGANTONES 100GR CHURRUCA",0.00000000000000000000,0.67791700000000000000,1,"01","000082",0,"04/25/13 00:00:00","TIENDA","IVA10"
"01000018","PIPA CHIC C/SAL  100GR",0.00000000000000000000,0.38208300000000000000,1,"01","000082",0,"04/19/13 00:00:00","TIENDA","IVA10"
"01000022","PIPA CALABAZA 100GR CHURRUCA",0.00000000000000000000,0.73708300000000000000,1,"01","000082",0,"04/25/13 00:00:00","TIENDA","IVA10"
"01000023","COKTAIL FRUTOS SECOS 100GR",0.00000000000000000000,0.35583300000000000000,1,"01","000082",0,"04/25/13 00:00:00","TIENDA","IVA10"
"01000025","CACAHUETES C/CASC.TOST. 100GR",0.00000000000000000000,0.34291700000000000000,1,"01","000082",0,"04/25/13 00:00:00","TIENDA","IVA10"
"01000027","ALMENDRA REPELADA FRITA 100G",0.00000000000000000000,1.35208300000000000000,1,"01","000082",0,"04/19/13 00:00:00","TIENDA","IVA10"
"01000030","PISTACHO TOSTADO 100GR CHURRUC",0.00000000000000000000,1.23000000000000000000,1,"01","000082",0,"04/25/13 00:00:00","TIENDA","IVA10"
"01000046","LAY,S CAMPESINA 180GR PATATA",0.00000000000000000000,1.32666700000000000000,1,"01",,0,"01/00/00 00:00:00","TIENDA","IVA10"
"01000048","PELOTAZOS 130GR CHEETOS",0.00000000000000000000,1.05000000000000000000,1,"01",,0,"01/00/00 00:00:00","TIENDA","IVA10"
"01000049","DORITOS TEX MEX 150GR",0.00000000000000000000,1.08666700000000000000,1,"01",,0,"01/00/00 00:00:00","TIENDA","IVA10"
"01000050","CHEETOS RIZOS 100GR MATUTANO",0.00000000000000000000,1.09750000000000000000,1,"01",,0,"01/00/00 00:00:00","TIENDA","IVA10"
"01000051","LAY,S AL PUNTO DE SAL 170GR",0.00000000000000000000,1.21250000000000000000,1,"01",,0,"01/00/00 00:00:00","TIENDA","IVA10"
"01000053","FRITOS TIRAS DE MAIZ 156GR",0.00000000000000000000,1.03333300000000000000,1,"01",,0,"01/00/00 00:00:00","TIENDA","IVA10"
"01000055","BOCABITS 84GR MATUTANO",0.00000000000000000000,1.03285700000000000000,1,"01",,0,"01/00/00 00:00:00","TIENDA","IVA10"
"01000056","CHEETOS PANDILLA 75GR MATUTANO",0.00000000000000000000,1.05000000000000000000,1,"01",,0,"01/00/00 00:00:00","TIENDA","IVA10"
"01000057","RUFFLES ORIGINAL 170GR",0.00000000000000000000,1.21000000000000000000,1,"01","000399",0,"01/00/00 00:00:00","TIENDA","IVA10"
"01000058","RUFFLES ONDULADAS JAMON 170GR",0.00000000000000000000,1.32700000000000000000,1,"01","000399",0,"01/00/00 00:00:00","TIENDA","IVA10"
"01000059","BUGLES 3D'S 85GR MATUTANO",0.00000000000000000000,0.98750000000000000000,1,"01","000399",0,"01/08/13 00:00:00","TIENDA","IVA10"
"01000086","PALOMITAS RISI 90GR",0.00000000000000000000,0.67125000000000000000,1,"01","000082",0,"04/19/13 00:00:00","TIENDA","IVA10"
"01000087","RISKETOS RISI 120GR",0.00000000000000000000,0.67125000000000000000,1,"01","000082",0,"04/19/13 00:00:00","TIENDA","IVA10"
"01000088","TRISKYS RISI 110GR",0.00000000000000000000,0.67125000000000000000,1,"01","000082",0,"04/19/13 00:00:00","TIENDA","IVA10"
"01000089","PAJITAS KETCHUP 100GR RISI",0.00000000000000000000,0.67111100000000000000,1,"01","000082",0,"04/19/13 00:00:00","TIENDA","IVA10"
"01000091","GUSANITOS RISI 85GR",0.00000000000000000000,0.67125000000000000000,1,"01","000082",0,"04/19/13 00:00:00","TIENDA","IVA10"
"01000092","RISIBOL RISI 130GR",0.00000000000000000000,0.67125000000000000000,1,"01","000082",0,"04/19/13 00:00:00","TIENDA","IVA10"
"01000094","PIPA AGUA SAL 100GR DE LA VEGA",0.00000000000000000000,0.42900000000000000000,1,"01","000082",0,"04/25/13 00:00:00","TIENDA","IVA10"
"01000095","PIPA CALABAZA 100GR DE LA VEGA",0.00000000000000000000,0.62920000000000000000,1,"01","000082",0,"04/25/13 00:00:00","TIENDA","IVA10"
"01000096","CACAHUETE C/CASCARA DE LA VEGA",0.00000000000000000000,0.32400000000000000000,1,"01","000082",0,"04/25/13 00:00:00","TIENDA","IVA10"
"01000097","MAIZ GIGANTE 100GR DE LA VEGA",0.00000000000000000000,0.50208300000000000000,1,"01","000082",0,"04/25/13 00:00:00","TIENDA","IVA10"
"01000098","PISTACHO IRAN 100GR DE LA VEGA",0.00000000000000000000,1.31791700000000000000,1,"01","000082",0,"04/25/13 00:00:00","TIENDA","IVA10"
"01000099","RUFLES YORK'ESO 170GR",0.00000000000000000000,1.32625000000000000000,1,"01",,0,"01/00/00 00:00:00","TIENDA","IVA10"
"01000100","DORITOS BITS TWISTIES 95GR",0.00000000000000000000,1.11000000000000000000,1,"01","000393",0,"01/00/00 00:00:00","TIENDA","IVA10"
"01000107","EL PIPONAZO 100GRS GREFUSA",0.00000000000000000000,0.89285700000000000000,1,"01","000082",0,"04/19/13 00:00:00","TIENDA","IVA10"
"01000108","PIPA G TIJUANA 200GR GREFUSA",0.00000000000000000000,0.92090900000000000000,1,"01","000082",0,"04/19/13 00:00:00","TIENDA","IVA10"
"01000109","PIPAS G C/SAL 200GR GREFUSA",0.00000000000000000000,0.92090900000000000000,1,"01","000082",0,"04/19/13 00:00:00","TIENDA","IVA10"
"01000110","MIX 5 120GR GREFUSA",0.00000000000000000000,0.75900000000000000000,1,"01","000082",0,"05/02/13 00:00:00","TIENDA","IVA10"
"01000111","MISTER CORN 140GR GREFUSA",0.00000000000000000000,0.75888900000000000000,1,"01","000082",0,"04/25/13 00:00:00","TIENDA","IVA10"
"01000112","COCKERS COMBI 80GR GREFUSA",0.00000000000000000000,0.71700000000000000000,1,"01","000082",0,"04/19/13 00:00:00","TIENDA","IVA10"
"01000113","GUBLINS GREFUSA BARBACOA 120GR",0.00000000000000000000,0.72000000000000000000,1,"01","000082",0,"04/19/13 00:00:00","TIENDA","IVA10"
"01000114","PAPADELTA GREFUSA 65GR",0.00000000000000000000,0.71692300000000000000,1,"01","000082",0,"04/19/13 00:00:00","TIENDA","IVA10"
"01000115","COCKERS STICKS GREFUSA 120GR",0.00000000000000000000,0.71700000000000000000,1,"01","000082",0,"04/19/13 00:00:00","TIENDA","IVA10"
"01000118","MULTICEREALES VELARTE 70GRS",0.00000000000000000000,0.46791700000000000000,1,"01","000082",0,"04/19/13 00:00:00","TIENDA","IVA10"
"01000120","ROSQUILLETAS VELARTE 60 GRS",0.00000000000000000000,0.46800000000000000000,1,"01","000082",0,"04/19/13 00:00:00","TIENDA","IVA10"
"01000123","PIPACHIC EJECUT.CHURRUCA 170GR",0.00000000000000000000,0.77000000000000000000,1,"01","000082",0,"04/19/13 00:00:00","TIENDA","IVA10"
"01000124","RISI PATATAS ONDULADAS 100GRS",0.00000000000000000000,0.67125000000000000000,1,"01","000082",0,"04/25/13 00:00:00","TIENDA","IVA10"
"01000125","RISI PATATAS CASERAS 100GRS",0.00000000000000000000,0.67125000000000000000,1,"01","000082",0,"04/25/13 00:00:00","TIENDA","IVA10"
"01000126","PALITOS SALADOS STIXX 80GRS",0.00000000000000000000,0.58687500000000000000,1,"01","000082",0,"04/09/13 00:00:00","TIENDA","IVA10"
"01000129","GALLETAS SURT.SALADAS FIESTA",0.00000000000000000000,0.90000000000000000000,1,"01","000082",0,"04/25/13 00:00:00","TIENDA","IVA10"
"01000131","RISI PATATAS ONDUL.JAMON 100GR",0.00000000000000000000,0.67125000000000000000,1,"01","000082",0,"04/25/13 00:00:00","TIENDA","IVA10"
"01000132","ARTESANAS INTEGRALES 70GR",0.00000000000000000000,0.46791700000000000000,1,"01","000082",0,"04/19/13 00:00:00","TIENDA","IVA10"
"01000136","CEBOLLA 165GR PRINGLES",0.00000000000000000000,1.56000000000000000000,1,"01","000082",0,"04/19/13 00:00:00","TIENDA","IVA10"
