Ticket,Fecha,CodTienda,CodCliente
"S1-12-005-2481112","12/21/12 00:00:00","005","907093"
"S1-12-005-2481214","12/21/12 00:00:00","005","901612"
"S1-12-005-2483657","12/27/12 00:00:00","005","910102"
"S1-12-005-2484311","12/28/12 00:00:00","005","901745"
"S1-12-006-1126849","12/24/12 00:00:00","006","905369"
"S1-12-006-1127144","12/25/12 00:00:00","006","910376"
"S1-12-006-1128188","12/28/12 00:00:00","006","910507"
"S1-13-003-1171090","01/25/13 00:00:00","003","910522"
"S1-13-003-1179695","02/07/13 00:00:00","003","910427"
"S1-13-003-1201992","03/14/13 00:00:00","003","905095"
"S1-13-005-2485978","01/01/13 00:00:00","005","904822"
"S1-13-005-2486654","01/02/13 00:00:00","005","910195"
"S1-13-005-2486842","01/03/13 00:00:00","005","907093"
"S1-13-005-2487012","01/03/13 00:00:00","005","901745"
"S1-13-005-2488499","01/06/13 00:00:00","005","901732"
"S1-13-005-2491795","01/14/13 00:00:00","005","901826"
"S1-13-005-2492766","01/16/13 00:00:00","005","901820"
"S1-13-005-2493186","01/17/13 00:00:00","005","901567"
"S1-13-005-2494204","01/19/13 00:00:00","005","910116"
"S1-13-005-2496635","01/24/13 00:00:00","005","910336"
"S1-13-005-2497224","01/26/13 00:00:00","005","910837"
"S1-13-005-2500697","02/03/13 00:00:00","005","901517"
"S1-13-005-2500710","02/03/13 00:00:00","005","901745"
"S1-13-005-2502473","02/07/13 00:00:00","005","904455"
"S1-13-005-2509334","02/21/13 00:00:00","005","910920"
"S1-13-005-2509437","02/22/13 00:00:00","005","901567"
"S1-13-005-2511937","02/27/13 00:00:00","005","910295"
"S1-13-005-2516256","03/08/13 00:00:00","005","904065"
"S1-13-005-2519108","03/14/13 00:00:00","005","910909"
"S1-13-005-2519263","03/14/13 00:00:00","005","910920"
"S1-13-005-2522560","03/21/13 00:00:00","005","901701"
"S1-13-005-2526888","03/29/13 00:00:00","005","904822"
"S1-13-005-2528080","03/31/13 00:00:00","005","910883"
"S1-13-006-1132096","01/08/13 00:00:00","006","904497"
"S1-13-006-1133500","01/12/13 00:00:00","006","905244"
"S1-13-006-1133875","01/13/13 00:00:00","006","904132"
"S1-13-006-1136766","01/21/13 00:00:00","006","905369"
